  1    1   4   20    1   M    1   0    3   M    1   0   SN    5
  2    1   3   10    1   M    2   0    4   F    1   0   SN    5
  3    1   1    2    1   M    3   1    5   M    1   0   SN    5
  4    2   1    2    2   F    1   0    6   F    1   0   SN    5
  5    2   2    5    3   M    1   1    2   M    1   0   PT    5
  6    3   2    5    4   F    1   0    8   F    1   0   EN    5
  7    3   2    5    4   F    2   0    6   F    2   0   SN    5
  8    3   3   10    4   F    3   0    9   F    1   0   NA    5
  9    3   3   10    4   F    4   0   10   F    1   0   SN    5
 10    4   2    5    2   F    2   0   11   F    1   0   NA    5
 11    4   3   10    2   F    3   0   12   F    1   0   DM    5
 12    4   3   10    2   F    4   0   10   F    2   0   SN    5
 13    4   3   10    2   F    5   0   11   F    2   0   NA    5
 14    4   2    5    2   F    6   0   13   M    1   1   NO    5
 15    4   3   10    2   F    7   0   10   F    3   0   SN    6
 16    4   2    5    2   F    8   0   14   M    1   1   CN    6
 17    4   3   10    4   F    5   0   11   F    3   0   NA    6
 18    4   2    5    2   F    9   0    5   M    2   0   SN    6
 19    4   3   10    2   F   10   0    6   F    3   0   SN    6
 20    5   3   10    2   F   11   0   10   F    4   0   SN    6
 21    5   2    5    2   F   12   0    3   M    2   0   SN    6
 22    5   2    5    2   F   13   0   10   F    5   0   SN    6
 23    5   4   20    5   M    1   1    5   M    3   0   SN    6
 24    5   1    2    2   F   14   0    9   F    2   0   NA    6
 25    6   2    5    6   M    1   0    2   M    3   0   PT    6
 26    6   2    5    6   M    2   1    2   M    4   0   PT    6
 27    6   2    5    7   F    1   0   15   F    1   0   SN    6
 28    6   1    2    2   F   15   0    7   N    1   0   PR    6
 29    6   1    2    2   F   16   0    7   N    2   0   PR    6
 30    6   1    2    8   M    1   0    5   M    4   0   SN    6
 31    6   4   20    8   M    2   1   16   M    1   0   EN    6
 32    6   1    2    2   F   17   0    7   N    3   0   PR    6
 33    6   1    2    2   F   18   0    2   F    2   0   PT    6
 34    6   3   10    7   F    2   0   17   M    1   0   SN    6
 35    6   2    5    7   F    3   0   17   M    2   0   SN    6
 36    7   3   10    7   F    4   0    9   F    3   0   NA    6
 37    7   3   10    7   F    5   0    9   F    4   0   NA    6
 38    7   3   10    2   F   19   0    4   F    2   0   SN    6
 39    7   2    5    7   F    6   0   11   F    4   0   NA    6
 40    7   1    2    7   F    7   0    7   N    4   0   PR    6
 41    7   2    5    2   F   20   0    6   F    4   0   SN    6
 42    7   3   10    7   F    8   0    4   F    3   0   SN    6
 43    7   3   10    7   F    9   0    6   F    5   0   SN    6
 44    7   3   10    7   F   10   0   18   M    1   0   NA    6
 45    7   3   10    7   F   11   0   19   M    1   0   SN    6
 46    8   2    5    7   F   12   0   19   M    2   1   SN    8
 47    8   3   10    9   F    1   0    4   F    4   0   SN    8
 48    8   3   10    9   F    2   0    6   F    6   0   SN    8
 49    8   3   10    9   F    3   0   20   F    1   0   NA    8
 50    8   3   10    9   F    4   0   15   F    2   0   SN    8
 51    8   1    2    9   F    5   1   15   F    3   0   SN    8
 52    8   3   10    2   F   21   0   10   F    6   0   SN    8
 53    8   1    2    2   F   22   0   21   F    1   0   NA    8
 54    8   3   10    7   F   13   0   10   F    7   0   SN    8
 55    8   3   10   10   F    1   1   22   F    1   0   CS    8
 56    9   2    5    2   F   23   0   16   M    2   0   EN    8
 57    9   2    5   11   M    1   0   23   M    1   1   EN    8
 58    9   2    5    2   F   24   0   11   F    5   0   NA    8
 59    9   2    5    7   F   14   0   10   F    8   0   SN    8
 60   10   1    2    2   F   25   0   24   M    1   0   CN   10
 61   10   1    2    2   F   26   1   24   M    2   0   CN   10
 62   10   2    5    4   F    6   0   25   F    1   1   NA   10
 63   10   3   10    4   F    7   0   21   F    2   0   NA   10
 64   11   1    2    4   F    8   1   11   F    6   1   NA   12
 65   11   3   10    7   F   15   0    6   F    7   0   SN   12
 66   11   1    2   11   M    2   0   22   F    2   1   CS   12
 67   11   1    2   12   M    1   0    5   M    5   0   SN   12
 68   11   1    2   12   M    2   1    5   M    6   0   SN   12
 69   11   1    2    7   F   16   0   12   F    2   0   DM   12
 70   12   3   10    7   F   17   0    9   F    5   0   NA   14
 71   12   1    2   13   M    1   0    5   M    7   0   SN   14
 72   12   1    2   14   M    1   0    1   B    2   0   CR   14
 73   12   1    2   13   M    2   1    1   B    1   0   CR   14
 74   12   2    5   15   M    1   0   12   F    3   0   DM   14
 75   12   1    2   16   M    1   1    5   M    8   0   SN   14
 76   12   3   10   15   M    2   0    2   M    5   0   PT   14
 77   12   2    5    7   F   18   0   27   F    1   0   SN   14
 78   12   2    5    7   F   19   0   15   F    4   0   SN   14
 79   12   3   10   15   M    3   0    3   M    3   0   SN   14
 80   12   3   10   15   M    4   0    2   F    6   0   PT   14
 81   12   1    2   15   M    5   0    2   M    7   0   PT   14
 82   13   2    5   14   M    2   0   18   M    2   1   NA   14
 83   13   3   10   15   M    6   0   20   F    2   0   NA   14
 84   13   1    2   14   M    3   0    1   B    3   0   CR   14
 85   13   3   10    7   F   20   0   10   F    9   0   SN   14
 86   13   1    2   17   F    1   1    1   B    4   0   CR   14
 87   13   3   10   14   M    4   0   24   M    3   0   CN   14
 88   13   2    5   14   M    5   0   17   M    3   0   SN   14
 89   13   4   20   15   M    7   0   10   F   10   0   SN   14
 90   13   1    2   18   M    1   1    1   B    5   0   CR   14
 91   13   1    2   14   M    6   0    6   F    8   0   SN   14
 92   13   1    2   14   M    7   0    7   N    5   0   PR   14
 93   14   3   10   14   M    8   0    2   F    8   0   PT   14
 94   14   1    2   14   M    9   0    1   B    6   0   CR   14
 95   14   1    2   19   F    1   0    1   B    8   0   CR   14
 96   14   3   10   15   M    8   0    2   M    9   0   PT   14
 97   14   2    5   14   M   10   0    3   M    4   0   SN   14
 98   14   1    2   19   F    2   0    6   F    9   0   SN   14
 99   14   2    5   19   F    3   0    2   M   12   0   PT   14
100   14   1    2   20   M    1   1    1   B    9   0   CR   14
101   14   2    5   15   M    9   0    2   F   10   0   PT   14
102   14   1    2   19   F    4   0    8   F    2   0   NA   14
103   14   2    5   19   F    5   0    3   M    5   0   SN   14
104   14   3   10   15   M   10   1    2   F   11   0   PT   14
105   14   1    2   19   F    6   0   15   F    5   1   SN   14
106   14   2    5   19   F    7   0    6   F   10   0   SN   14
107   14   1    2   14   M   11   0    1   B    7   0   CR   14
108   14   2    5   19   F    8   0    4   F    5   0   SN   14
109   14   2    5   21   M    1   0    2   F   13   0   PT   14
110   15   1    2   21   M    2   0   28   M    1   0   NA   14
111   15   2    5   21   M    3   1    2   F   14   0   PT   14
112   15   1    2   19   F    9   0   20   F    3   1   NA   14
113   15   1    2   19   F   10   0   17   M    4   0   SN   14
114   15   1    2   19   F   11   0   27   F    3   0   SN   14
115   15   1    2   19   F   12   0   27   F    4   0   SN   14
116   15   1    2   19   F   13   0   27   F    5   1   SN   14
117   15   2    5   22   F    1   1   21   F    3   1   NA   14
118   15   1    2   19   F   14   0    4   F    6   0   SN   14
119   15   2    5   19   F   15   0    4   F    7   1   SN   14
120   15   1    2   14   M   12   0   29   M    1   0   EN   14
121   15   1    2   14   M   13   0   29   M    2   1   EN   14
122   15   1    2   19   F   16   0    1   B   10   0   CR   14
123   15   1    2   14   M   14   0    3   M    6   0   SN   14
